,userName,score,date,thumbsUpCount,comment
29,시금치,1,2021-09-23,4,메갈 기업 카카오뱅크 불매 더 가자 전부 탈퇴 완료
30,리호춘,5,2021-09-23,0,너무 잘 만든 것 같습니다
31,근태문,5,2021-09-23,0,저축하는 습관 목돈 마련 가능
32,윙제로,5,2021-09-23,0,좋음
33,건호신,5,2021-09-23,0,수수료 면제 및 다양한 기능이 만족스러운 앱
34,꼬우면니나잘하셈,1,2021-09-23,0,친구랑 같은 계정 사용해도 되냐요
35,Yongho Kim,1,2021-09-22,0,기기변경이 불편합니다
36,윤기열,5,2021-09-22,0,카카오뱅크 빨리 잘 돼는 거 같아서 좋아요
37,Jasmine A,1,2021-09-22,0,카카오뱅크 mini 입금한도 좀 없애주세요
38,시닌뚜니,5,2021-09-22,0,전좋아요젛아요
39,황혜선,3,2021-09-22,1,대출 빼고 사용하기 원활하긴 한데 이 체결과 반영이 즉시 되지 않아 안 된 줄 알고 중복 이체하는 경우도 잇긴 하나 그건 내 네트워크 탓일 수도 있으니 뭐 패스하고 이 정도면 타사들 앱에 비해 사용하기 편하다고 감히 말하고 싶다
40,몽이빨,1,2021-09-22,0,광고만 나오고 보안 안 좋음
41,박재호,5,2021-09-22,0,너무너무 간편하면서 펼 리 해 좋아요
42,김푸름,5,2021-09-21,0,좋아요
43,채병도,5,2021-09-21,0,좋아요
44,10 2,2,2021-09-20,0,군인인데 px에서 사용 못 하나요
45,주재범,5,2021-09-20,0,검은 사막의 모바일 15억 8500달러 카카오뱅크
46,McArtur Kim,1,2021-09-20,0,해외송금 WU 환율 너무 비쌉니다 다른 어플 비해 여기에 제일 비싸고요 환율 우대하세요
47,최준길,5,2021-09-20,0,아주 편리하고 좋아요
48,GD P,4,2021-09-19,0,수수료도 없고 편해요  이래서 카카오가 독점하는 건가요 이거만 쓰네요
49,원유희,5,2021-09-19,0,저금통과 26주 적금 이용하고 있는데 도움이 되어서 좋아요
50,최명동,2,2021-09-18,0,9르드
51,박혁준,1,2021-09-18,0,고객 센터가 일을 안 해요
52,하늘바람,5,2021-09-18,0,편하고 좋아요
53,김형길,5,2021-09-18,0,쓰기 정말 편함
54,정애자,5,2021-09-18,0,카톡우ㅔ을열고사용이견의성탁율
55,문호준,5,2021-09-17,0,간단해서 좋아요
56,박종덕,1,2021-09-17,22,처음부터 계좌 비밀번호 오류라고 뜨던지 기타 오류라고 표시해놓고 하루 지나서 시도하니까 비밀번호 오류 한번 발생하고 5회 오류라고 a 보안 땀시 전면부 카메라 가리고 사용 중인데 본인확인이라니 a 심지어 비번도 틀린 것도 아니네  진짜 할 말이 없다 체크카드 만들고 명절이라서 처음으로 돈 뽑는 건데 거지 같아서 내년에 예금 만기 되면 옮겨주마
57,M SILVER,1,2021-09-17,0,진짜 거지 같은데 대체 왜 켜지지도 않아요
58,하루,3,2021-09-17,0,네트워크 연결할 수 없음 해결 방법 뭔가요
59,Zay Lee,1,2021-09-17,0,느려터진 앱
60,혜가,1,2021-09-17,0,네트워크 왜 이래 돈 좀 보내자 뭐 하냐
61,romt p,1,2021-09-17,0,아주ᅢ판이구먼
62,DH Lee,1,2021-09-17,0,네트워크 연결 왜 이럼
63,Serena Jang,1,2021-09-17,1,로그인 네크워크 오류로 인해 사용을 못 하고 있습니다
64,ᄋᄉᄋ,1,2021-09-17,0,민증인 증 더럽게 안되네요 짜증 나요
65,Victoria,1,2021-09-17,0,로그인 오류가 너무 잦아요
66,권정은,5,2021-09-17,1,편리하고 이율도 좋은 편예요
67,최선희,5,2021-09-16,0,카카오 mini 엄청 잘 쓰고 있습니다 학생인데 용돈카드로 쓰기 좋아요
68,김소영,5,2021-09-16,0,뭐 불편한 게 없음
69,로그인영희의 영상,5,2021-09-16,0,편리함
70,김성우,5,2021-09-16,0,묻지도 따지지도 않겠습니다 최곱니다
71,Se-il Kim,3,2021-09-16,8,폴드 3에서 신분증 인식이 안됩니다 자동으로 인식이 안될 거면 촬영 버튼이라도 만들어주세요 인식이 안되니 아예 사용할 수가 없습니다 앱은 10번 이상 삭제했다 재설치해봤습니다
72,전기,1,2021-09-16,0,쓰레기은행
73,지승근,5,2021-09-16,0,굿
74,송영민,5,2021-09-16,0,너무 편하고 좋은 듯 금융혁신
75,수인조,1,2021-09-15,0,신분증 인증 좀 고치든지 해라 뭔 찍히면 똑바로 찍히지도 않고 하루 종일 카메라만 들이대고 있네
76,Jihye UM,5,2021-09-15,0,이체가 너무 편하고 수수료 10회 무료가 너무 좋음
77,송기태,5,2021-09-15,0,아주 유용하게 사용 중
78,김정호,5,2021-09-15,0,사용용 편의성이 너무 좋습니다
79,짜이탄,5,2021-09-15,0,안녕하세요
80,나이스,1,2021-09-14,0,카카오뱅크는 금산분리 특혜로 크는 양아치 기업 더럽고 쓰레기 악질 중국 자본
81,Sangku Kim,4,2021-09-14,0,쉽고 편하게 사용하고 보너스도 받는 시스템이 무척 좋아요
82,김hs,1,2021-09-14,0,신분증 재촬영 요구 후에 앱 사용 안 돼요
83,김명수,5,2021-09-14,0,편해요
84,벨라,5,2021-09-14,0,편하고 빠르고 만족스럽습니다
85,윤석환,3,2021-09-14,0,좋네요
86,권혜림,5,2021-09-14,0,카카오뱅크짱
87,김나현,1,2021-09-14,15,계좌 만들 때 뒤로 가기 좀 만드세요 개화 나서 진짜 ; 통화 인증 말고 계좌 인증하고 싶은데 뒤로 가기가 없어서 똑같은 짓만 30분 하다가 앱 지웁니다
88,a a,1,2021-09-14,1,어느 날 이체하려고 하니 일시적인 오류라며 1일째 이체가 안되네요
89,Kir By,1,2021-09-14,0,본인확인을 계속 똑같이 적었는데도 본인확인정보를 확인하라네요
90,1ilililil,1,2021-09-13,0,멀정하게 살아있는 사람을 죽은 사람으로 만드네
91,풍랑,1,2021-09-13,86,이놈의 어플은 툭하면 네트워크 연결할 수 없다고 작동을 안 하네 데이터 와이파이다 정상적으로 연결돼있구먼 왜 혼자 연결할 수 없다고 하는지 지웠다 깔면 또 정상적으로 되다가 며칠 지나면 안 되고  하
92,신용열,5,2021-09-13,0,매우 만족
93,YN Lee,5,2021-09-13,0,카카오뱅크만큼 편한 게 없지
94,mutter mutter,1,2021-09-13,0,신분증인 증 정말 잘 되네요 다시 촬영하라는데 버튼은 갔다 버렸나요
95,유용규,5,2021-09-13,0,좋아요
96,그린비,5,2021-09-12,0,사용하기 편하고 이체와 타행 입출금 시 너무 좋아요
97,유금자,5,2021-09-12,0,학교에서 돌아온 지 3시간 친구 힘 하고 있어요 선생님 이주현 아기 충주 시집 아기사랑 선생님 늘 하이 주 서울 아파트 선생님 말씀 김주현 선생님 말씀 감사합니다 안녕하세요 이웃님들 오늘은 정 전 서울 아파트 전세 월세 64보증금 월세 보증금 월세 소득공제 혜택을 본 포스팅은 아래 링크 클릭 클릭해주세요 저는 이렇게 공부해야 하는 3
98,라이더K,5,2021-09-12,2,간편하고 편안하고 좋습니다 5년 동안 잘 사용하고 있네요 최고의 카카오뱅크은행 최고입니다
99,박명희,5,2021-09-12,0,너무 편하고 좋아요
100,Sang­min Lee,1,2021-09-12,0,통장 재활성화하기가 어려움 대포통장화할 가능성 농후함 핸드폰 인증 또는 공인인증으로 활성 불가 더럽다 잔액 너 다 가져가
101,이용복,1,2021-09-12,0,홈페이지가 안 되는가
102,선선숙희,1,2021-09-12,0,다운이 안돼요
103,이진범,1,2021-09-12,0,음 주민등록번호가 다르다는 건 뭔 개소리지
104,hellkoogle gota,1,2021-09-11,0,무슨 멀쩡한 폰을 usim 등록이 안 되어있다고 진행이 안되게 만들어놨는지 참
105,Jin K,1,2021-09-11,102,기기변경하고 새로 앱 들어가는데 본인인증 무한 반복입니다 고객센터 영상통화 연결해서 비밀번호는 바꿨으나 계좌에 연결되지 않고 본인인증 무한 반복 신분증 사진 서른 번도 더 찍었음 앱도 지웠다 새로 깔아도 계속 같은 현상입니다
106,오상민,5,2021-09-11,0,좋아요
107,윤요한,3,2021-09-10,21,잘 사용하고 있습니다 하자 관계는 어떻게 되는지 궁금합니다 사용 잘하고 있는데 한 가지 단점은 전화통화가 어렵습니다 오늘도 몇십 분 시도하다 포기했습니다
108,로엔,1,2021-09-10,0,편의성 좋았는데 대출금리 시중보다 높아 안 써야지
109,한만현,3,2021-09-10,0,감사
110,mr.씨야,5,2021-09-10,0,멋짐
111,신경호,5,2021-09-10,0,만족
112,Cherish J,1,2021-09-10,0,불편함
113,권성현,4,2021-09-10,0,이체 한도 제한 빨리 풀어 주시오
114,jaewon sung,5,2021-09-10,0,굳
115,박성철,5,2021-09-10,0,좋아요
116,김경석,5,2021-09-09,0,카카오뱅크 정말 굿입니다
117,hello milena,1,2021-09-09,9,이런 같잖은 은행 첨 본다 은행이 실명확인증표로 여권이나 임시 주민등록증도 안되고 증권사 연계계좌는 개설 쉽게 해놓고 며칠 뒤에 거래 제한하는 악덕기업 소비자 입장에는 전혀 생각 안 하는 너네가 은행이냐 최악
118,오민혁,1,2021-09-09,0,카드가 배송 오는데 배달 아저씨가 화냄
119,조민제,3,2021-09-09,0,기능 자체는 매우 좋지만 부모님 명의의 핸드폰이라서 만 14세 여도 mini가 계설이 안되네요
120,박기영,1,2021-09-09,0,아니 왜 업데이트 가 안되니
121,정하엽,1,2021-09-09,6,전세대출하는데 서류는 제출되지도 않고 필요한 서류를 제출했더니 추가 서류만 산더미고 무슨 사람 가지고 훈련 시킵니까 없는 서류 만들어서 낼까요 발급할 수 없는 서류를 계속 요구하지 말고 차라리 대출을 받지 말라고 하던가 시스템도 맘에 안 드는데 사람 기분 망치는 데는 도가 텄네요 진짜 
122,양*봉,5,2021-09-09,0,유용함
123,매수맥점최고,5,2021-09-09,0,좋아 편해요
124,반짝반짝,5,2021-09-09,2,저는 만족하고 씁니다 수수료 면제 편리한 입출금 앱 푸시까지
125,정민국,5,2021-09-09,0,가입하기가 쉽고 입출금이 자유로워서 강추 합니다
126,Yun-jeong Lim,5,2021-09-09,9,모임통장 기능 좋음 모임통장에 누군가 회비 입금을 하면 모임통장에 가입된 모든 인원에게 푸시 알람이 오면 좋겠습니다
127,이용민,5,2021-09-09,0,편해요
128,HJ L,5,2021-09-09,0,다 좋은데 미니 카드도 저금통이나 세이프 박스 같은 저금 기능이 필요합니다
129,뽈락,1,2021-09-09,0,문어발 기업은 퇴출되어야 함 삼성보다 나쯘 기업
130,Chris Lee,5,2021-09-08,0,편리하고 정확합니다
131,승현,5,2021-09-08,0,카카오뱅크 짱짱
132,정규재,1,2021-09-08,0,기기변경 후에 계속 똑같이 문의하라는 창만 뜨고 전혀 진행이 안되네요 토스로 갈아탈게요 수고하세요
133,강호장,5,2021-09-08,0,편해요
134,youseung zo,1,2021-09-08,0,전문 변환 중 오류 발생
135,인큐베이터,1,2021-09-08,0,카카오톡으로 개설했기에 연결하려고 보니깐 안되더라고요 설명서대로 로그인 한에 이미 개설 버튼 누르고 하는데도 안 나오고 개설하기 누르니 이미 있다고 안되고 어쩌란 거지
136,전동숙,5,2021-09-08,1,간편하다고 많이 들었음 자주 이용해보려고 합니다 친구들에게도 귀해봐야 할 것 같습니다
137,ᄋᄋ,1,2021-09-08,0,뭔 짓을 해도 신분증 촬영을 전혀 못하네요 그냥 포기합니다
138,이우재,5,2021-09-08,0,매우 유용한 앱입니다
139,jimin park,1,2021-09-08,0,업데이트가 계속 안됩니다
140,안운근,4,2021-09-08,0,좋아요
141,쵸쵸쵸,5,2021-09-08,0,잘 쓰고 있어요 이게 제일 편해요 감사합니다
142,우규택,5,2021-09-08,0,감사합니다
143,지구여행,5,2021-09-08,1,카카오뱅크은 어떤 은행을 거래하든 수수료도 없고 편리해서 정말 좋아요
144,oceangipsy,3,2021-09-07,89,사용 횟수가 별로 없어 일단 별은 3개 주는데 어이없는 게 계좌 개설에서 신분증 인증 타 은행 앱에 비해 한 번에 되길래 오 이것 봐라 하고 감탄하고 이것저것 다 설정해놓고 나서 카카오뱅크을 어떻게 이용할까 이런저런 생각도 많이 했는데 다음날 신분증 사진에 문제가 있다며 앱 사용 금지 재 전송 요구에 보내긴 했는데 찜찜함과 타 은행 앱처럼 처음 인증 단계에서 재 촬영을 요구하던가 이건 뭐 줬다 뺐는 것도 아니고 첫인상이 별로라 그다지 사용하지 않을 듯하지만 재전송했으니 결과나 기다려 봐야겠네요 결론 처음 신분증 요구 시 맘에 안 들면 안 든다 다시 찍어서 보내달라 하세요 인증 잘 된 것처럼 이것저것 만지게 해놓고 하루 만에 신분증 사진 문제 삼아 갑자기 앱 맘대로 걸어 잠그면 어쩌자는 겁니까
145,김순록,5,2021-09-07,0,쪼아요  편리하고
146,김태정,1,2021-09-07,0,업데이트 안됨
147,심상윤,4,2021-09-07,0,너무 편하게 쓰고 있어요
148,김혜련,5,2021-09-07,2,기기변경 오류 무한 반복 고객센터에서 알려준 대로 핸드폰 잠금 설정 pin으로 설정했는데도 계속 인증하라고 뜹니다 일부 핸드폰에서 그런 것 같은데 얼른 개선되길 바람 앱 켤 때마다 문자로 인증번호 받고 주민등록증 찍어야 하니 일반 은행 어플보다 더 불편해서 못쓰겠네요 이거 쓰려고 핸드폰을 바꿀 순 없으니
149,Jieun Lee,1,2021-09-07,0,atm 무카스 출금 인증번호 오류 때문에 1시간 동안 길바닥에서 고생만 했네요 결국 네이버 검색해보니까 저 같은 경우들 많았던 것 같은데 왜 아직도 수정이 안된 건지; 그냥 넣어둔 돈 출금해서 시중은행 쓰려고요
150,허윤정,1,2021-09-07,50,휴대폰 기기를 변경했는데 명의도 변경돼서 로그인 방법 고객센터 문의하니 방법이 없다네요 기존 계좌는 어떻게 하냐 하니 사용 못 한다고 해지는 안되냐 하니 해지도 안된다고 하네요 고객센터에서 서류 확인 후 안되냐 하니 안 된다네요 사용 못 한다고만 하고 황당하네요
151,lee youngju,4,2021-09-07,0,잘 사용하고 있어요
152,류주혜,1,2021-09-07,0,ksb
153,윤성만,1,2021-09-07,0,처음에 낮은 이율로 마이너스통장 만들게 하고 1년 만에 다른 은행보다 이율 더 높임
154,이의현,1,2021-09-07,0,최악 별 하나가 아까움 이게 뱅크인지 광고판인지 모르겠는 어플
155,김예은,1,2021-09-07,0,욕도 아까움  여러분 이딴 거 쓸 바엔 토스나 다른 은행 어플 쓰세요
156,김승태,5,2021-09-07,0,좋아요
157,ᄒᄒ,5,2021-09-07,0,이만한 게 있을까
158,ht Lee,5,2021-09-06,0,굿
159,박진형,5,2021-09-06,0,아주 편리해요
160,윤원식,5,2021-09-06,0,편리하게 부탁드려요
161,장덕진,5,2021-09-06,0,간편하고 카카오니까 믿을만하고
162,레하,1,2021-09-06,0,계좌 만드는데 인증번호 받는 걸 무슨 5분씩이나 걸리냐 그래놓고 시간은 3분을 줌 미치겠네 그냥 만들란 거임 아니면 만들지 말란 거임
163,이원일,4,2021-09-06,0,굿
164,최덕동,5,2021-09-06,0,
165,최혜영,3,2021-09-06,0,뱅크가 업데이트가 안돼요 어떻게 해야 되나요
166,hokyung Jang,5,2021-09-06,0,업데이트 버튼이 안 눌림
167,선상우,1,2021-09-06,1,지원금 신청이 계속 오류가 뜹니다
168,서연,1,2021-09-06,9,오늘 재난지원금 신청해야 하는데 오류라면서 못하게 하시면 어떡합니까 빨리 좀 고쳐주세요
169,김현섭,1,2021-09-06,1,국민지원금 탭이 안 생김
170,jinhae jeong,1,2021-09-05,0,쓰레기네 시스템 게젓 같음
171,남이재호,5,2021-09-05,0,참 좋아요
172,Andy LEE.,1,2021-09-05,0,쓰레기은행일세 계좌개설하고 이체한도가 200이라 해제 신청하려고 조건에 부합하는 의료보험 확인서 발급받아서 원본 촬영해서 보냈더니 거절해버리네  에라 보내 달라는 거 깔끔하니 보내줘도 거절 치아라 안 쓴다
173,김성은,5,2021-09-05,0,안녕하세요 너무 편리해
174,갓HJ,1,2021-09-04,2,아니 카카오뱅크 자꾸 가입했었다고 그거 아니면 로그인 못하게 하고 안돼서 비번이랑 패턴이랑 계속 문자 보내서 바꿨는데도 다시 들어가면 계속 아니라 하고 어쩌란 거죠 이래서 안 쓰는 건가;;
175,정예석,1,2021-09-04,0,보일
176,국화,5,2021-09-04,0,너무 편리해서 좋아요
177,려제,1,2021-09-04,0,돈을 다루는 어플이면서 자동화가 되어있지 않고 상담원 없이는 해결할 수 있는 게 한정적이어서 저녁에는 할 수 있는 게 없습니다
178,SONG Won-Gi,1,2021-09-04,0,뱔로
179,HMLOL AR,5,2021-09-04,4,완벽한 건 아니지만 다른 은행 앱에 비하면  천사다
180,궁예철원,5,2021-09-04,0,좋아요
181,q Q,1,2021-09-04,0,만약에 문재가 생겼으면 카카오톡 고객센터분들 답장 속도 느리니 1년만 기다리시면 됩니다
182,정용호,1,2021-09-03,0,갤럭시 폴더 3에 카카오뱅크 등 은행 앱이 설치가 안됩니다 왜 안되는지  해결 방법은 없나요
183,독수리수리마수리,1,2021-09-03,2,알뜰폰이라 차별하는 거였네 심지어 리뷰 올린 지 몇 분 만에 칼 삭제 검열 수준 두렵노 내가 포기하나 봐라 계속 올려줄게
184,저글링블러드,1,2021-09-03,0,체크카드 신청하는데 자꾸 촬영에 실패했다고만 뜨고 아예 촬영할 기회조차 안뜸
185,지누지누,2,2021-09-03,2,꺼진 화면서 알람이 오면 화면이 켜지지 않습니다 A90 사용자입니다 확인 후 수정해 주세요
186,앵무새,1,2021-09-03,0,재가 미니 카드 신청을 하려고 로그인을 하는데 이전 이력이 있다고 해서요 저는 예전에 카카오뱅크을 쓴 기억이 없어서요 해결해주세요 미니 카드 만들고 싶어서 영상통화 등록까지 해도 않된다내욤
187,김성길,5,2021-09-03,0,좋아요
188,Hyunsik Yu,1,2021-09-03,2,대출이자는 처음엔 싸다가 슬금슬금 올려서 딴은 행보다 비싸고 예금금리는 제일 낮고 별 하나도 아깝지만 이게 최저라 그냥 준다
189,박재선,5,2021-09-03,0,없음
190,yj park,5,2021-09-03,0,굿
191,소슌,1,2021-09-03,2,도대체 몇 번을 본인 인증을 시키는 건지 그러고도 왜 로그인이 안 되는 건지요
192,크라,3,2021-09-03,0,실수로 잘못 결제해서 당황해서 나갔는데 돈만 빠져나갔네요 환불 못 받나요
193,SUAH YU,1,2021-09-02,0,전화 좀 작작해요
194,장진욱,5,2021-09-02,0,맛 좋네
195,정혜은,3,2021-09-02,2,패턴 하구 비밀번호 잊어버려서 다시 인증하고 다른 계좌에서 송금하고 그러면 패턴 오류라고 처음으로 돌아가요
196,한재성,5,2021-09-02,2,모임통장 및 세이프 박스 잘 쓰는 중 대출금리 한도 등은 타은행 대비 부족하다 생각함
197,Communal Account,1,2021-09-02,0,일시적오류로 안됨 그냥 다른 은행 거 만들어야지
198,우주영,5,2021-09-02,0,간편하고 좋습니다
199,김삼술,5,2021-09-01,0,너무 고맙습니다 좋아서요
200,Soyoung Kang,5,2021-09-01,0,신분증 여권사용도 가능하기 해주세요 
201,영,5,2021-08-31,0,너무너무 편하고 좋습니다
202,코쵸우글루,1,2021-08-31,2,비밀번호랑 인증 비밀번호를 까먹었는데 복구할 수 있는 방법이 없을까요 고객센터 문의 말고요 다른 방법이 없나요
203,__,3,2021-08-31,2,다 좋았는데 왜 카카오뱅크 계좌번호가 네이버 시리즈 결제에 안 먹히는지 도무지 알 길이 없네요
204,Google 사용자,3,2021-08-31,0,너무 좋다
205,최은하,5,2021-08-31,0,쓰기 편하네요
206,Jason Antonio,1,2021-08-31,5,뭐지요 로그인 시마다 초기화되고 매번 신분증으로 본인 화인 시키면 누가 사용합니까 타 금융사 앱보다 더 불편하네요
207,카드값줘체리,1,2021-08-31,24,아무리 아니라고 말을 해도 상담원이 계속 보이스피싱일 수 있다고 하는데 적당히 좀 합시다 제가 카카오뱅크에 제 사생활까지 말해주면서 아닌 이유를 대야 합니까 보이스피싱 위험 때문에 그런 거 알겠는데 적당히 하자는 겁니다
208,송현정,5,2021-08-31,1,진짜 편리하고 쓰기넘좋아욘
209,박화범,5,2021-08-31,0,정말 좋아요
210,녹차,4,2021-08-31,47,비번만으로 잠은 해놓고 싶은데 지문 아니면 패턴으로만 인증이 되는 건가요 너무 불편해요 지문은 스마트폰을 갤럭시를 써서 보안 취약해서 일부러 안 해놓고 패턴은 까먹기 쉬워서 비밀번호가 편한데
211,박지성,1,2021-08-30,0,앱업데이트죙일걸리네
212,박춘근,5,2021-08-30,0,좋아
213,유정운,1,2021-08-30,2,사진 찍는 대 애먹음 무슨 신분증 찍는대 장소를 여러 곳 옮김 무슨 빛반사 어쩌고 아니 일반 킥보드도 쉽게 사진 찍히는데 여기는 너무 어려움
214,서연,1,2021-08-30,108,실수로 다른 계좌로 인증하기를 눌렀은데 다시 뒤로 가지도 못하고 지웠다 다시 깔아도 계속 다른 계좌로 인증하기가 떠서 매우 불편합니다 최소한 뒤로 다시 갈 수 있게 만드셨으면 좋겠네요 실수로 인해서 30일이나 기다렸다가 해야 할까 싶네요
215,엄윤성,3,2021-08-29,7,개명했는데 어차피 잘 안 쓰기도 했고 앱 지운 상태에서 내가 개명했음을 알릴 수 있는 수단이 없어서 그냥 안 쓸랍니다 열받네요 신분증 촬영해놔도 혹시 개명하셨나요 이런 메시지도 안 뜨고 허접한 듯
216,이경은,5,2021-08-29,0,편리하게 사용하고 있습니다 만족합니다
217,bar hop,1,2021-08-28,0,어플 리뷰 진짜 안 쓰는 편인데 진짜 별로임
218,이상진,1,2021-08-28,0,대부 업체에 금융 정보 팔아처먹는 쓰레기 
219,Fds Ir,5,2021-08-28,2,카카오뱅크는 나의 목숨을 한번 붙들게 해주었다 그리고 몇 년간 잘 사용하였고 입출금 알람도 씹힘이 업다 아직도 눈물이 흐른다
220,__aho _,1,2021-08-27,0,느림
221,박갓띄,5,2021-08-27,0,
222,신종승,5,2021-08-27,0,젛습니디
223,제갈찬호,1,2021-08-27,0,상대방이 보낸 돈 카카오뱅크으로 대로 넣어놓고 신분증 훼손이라고 내 돈 빼질 못하네 어이가 없다
224,BD Y,1,2021-08-27,0,저렴했었던 만 통 금리 자꾸 올리네 경쟁력 없어지면 갈아탈 거임
225,Google 사용자,1,2021-08-27,0,앱 다운이 안 됨
226,JONGSIK JEON,5,2021-08-27,0,사용에 편리 핫 최고의 은행으로 인정함
227,박혜란,2,2021-08-27,0,어플이 설치가 안돼요
228,오늘도 솔나_,5,2021-08-27,0,비번 잘 기억하세요
229,#NAME?,5,2021-08-27,0,생활이 편리해졌어요
230,jaeho kim,4,2021-08-26,0,잘 쓰고 있어요
231,유현희,5,2021-08-26,1,수수료 없이 사용하기에 너무 좋아요 카카오뱅크에 감사드립니다 
232,왕자,1,2021-08-26,0,처음에는 금리도 싸고 하더니 지금은 시중은행보다 비싸짐
233,gkfjf rurj,1,2021-08-26,0,보안이 너무 허술한 거 같아요 해킹 당해서 재산 도둑맞을까 봐 카카오뱅크에 돈 못 넣겠어요
234,김경숙,5,2021-08-26,0,만족합니다 보편적
235,임한솔,1,2021-08-25,107,계좌 해지하고 다시 만드는데 영상통화로 인증하는 법말고 실수로 다른 계좌로 인증하기 눌렀는데 계속 전단계로 안 돌아가지고 계속 다른 계좌 입력하라고 뜨네요 버그인지 아닌지는 잘 모르겠는데 굉장히 어이가 없네요 다른 은행 계좌도 없는데 그러면 30일 동안 기다렸다가 계좌개설 신청하기 기간 만료되면 그때 새로 만들어야 하는 건가요 이런 점에서는 정말 별로네요 카카오뱅크 실망입니다
236,말짱,5,2021-08-25,39,거의 5년간 너무 잘 쓰는 중입니다 세이프 박스 기능 수수료 10회 무료 카카오 뱅크의 다른 상품은 안 써봤지만 간편한 인터넷 뱅킹의 출발을 알린 앱이 아닌가 합니다
237,신유철,5,2021-08-25,0,최고예요
238,이미진,1,2021-08-25,0,아깝네 별주기
239,정승오,5,2021-08-25,1,좋아요 청소년이어서 미니 카드 쓰는데 너무 좋아요 계좌도 생기고 
240,Guil Sim,5,2021-08-25,0,좋아요
241,혜원,1,2021-08-25,1,계속 맞는데 본인확인정보 떠서 못하겠어요
242,이경우,5,2021-08-25,0,만족합니다
243,_벚꽃,1,2021-08-25,0,신분증을 봇이 검사하는데 빛 반사로 인해 사용 금지 당했음 최악
244,서영채,1,2021-08-25,0,다운로드 정말 힘듦
245,제이은,1,2021-08-25,12,다른 은행에서 가져오기 할 때 돈 있는데도 잔액 계속 0으로 떠있어요 실시간 반영이 제대로 안되네요
246,배어진,5,2021-08-25,0,
247,최광천,1,2021-08-25,0,갤럭시 폴드 3를 사용하는데 어플이 깔리지 않네요
248,이우철,5,2021-08-25,0,좋은 은행 어플입니다
249,성현,1,2021-08-24,4,아니 신분증 제출하래서 제한 풀어줘놓고 얼마 안 돼서 또 제한 먹이네요;;;;카드 그거 하나밖에 없는데 돈 쓸 때가 많고 빠져나가는 데가 많은데 참 불편하네요
250,선발,5,2021-08-24,0,좋아요 감사합니다
251,김명희,4,2021-08-24,1,조금 복잡하나 곧 숙지해서 잘 사용해 여보자
252,김기홍,5,2021-08-24,0,계좌 펀 호각 잘 기억나지 않음
253,김승용,5,2021-08-24,0,굳입니다
254,최병진,1,2021-08-24,0,이체하려고 금액 입력하면 튕김 아오
255,송성옥,4,2021-08-24,0,제주도 여행 많이 두목회 
