,comment
174,우리은행 업데이트를 너무 자주 하라고 해서 다른 앱 삭제해야 설치됨 업데이트만 5분 이상 소요됨
175,갑자기 로그인도 안 되고 타은행 공인인증서 등록하려고 하니 무슨 앱 삭제 캐시가 삭제됐으니 구공인 인증서를 등록해라고 하고 하면 또 딴소리하고 왜 이럴까요
176,업데이트를 어떻게 한 거예요 갑자기 로그인 안 되고 생체인 증 안되고 오류만 계속 뜨고 당장 써야 하는데 뭔지를 모르겠네요
177,편리함
178,은행 안 가도 대고 빨리 업무 볼 수 있어서 좋아요
179,감사합니다
180,잘 사용 중입니다
181,굿굿굿
182,최강의 쓰레기 어플 지금 깔았다 지웠다 5번은 한 듯 깔고 하루 지나면 안 되고 깔고 하루 지나면 안 되고  로그인 등록만 몇 번째인지 제대로 좀 만들어라
183,좋았으면 좋겠어요
184,타 기관 인증서 등록되지도 않는 거지 같은 앱
185,아니 금융 인증서 없대서 등록하라 해서 등록하면 타 기관에 등록되어 있다고 함 그래서 타 기관 등록하면 금융 인증서가 없대 어쩌라는 건데
186,우리은행 좋아요
187,앱도 문제지만 우리은행은 참 불편 그 자체다 그냥 정체된 회사 문화와 복지부동
188,별 하나도 아깝다
189,손님들한테 계좌로 돈을 받는 경우가 많아졌는데 별짓을 다 해도 알람이 오지 않음 알람 다 찾아보고 설정해봐도 똑같음 엄청 불편 해결 안 되면 우리은행은 이제 놔줘야겠음
190,업데이트하고 어떻게 점점 느려지냐 안 써야 하나 우리은행
191,왜 이 모양으로 만들어놨는지 신분증 촬영할 때 노란 박스가 안 나오고 아무리 사각 프레임에 잘 맞춰도 사진촬영이 안된다고요 거지 같네 진짜
192,입출금 내역이 실시간 알림 안 뜨네요 한 달 넘은 거 같고요 알림 설정 싹 다 해놨어요 일일이 로그인 안 하면 확인 못하고 지나가는 거 수두룩하네요 아 혹시나 해서 알람 표시 모두를 해놨더니 광고 푸시 알림은 지나치게 잘 뜨네요  하루에 같은 게 몇 개씩이 나오는지 보여줘야 할걸 제대로 보여주길 바랍니다
193,누구나 쉽게 이용할 수 있어서 좋아요
194,거의 사용 안 하지만
195,가입하려고 하는데 등록증 인식이 안돼요 몇 번이나 했는데 다른 가입 방법은 없나요
196,인증서 있는데 인증서 오류 에러코드 404 그리고 어플에서 이런 거 이상 있다고 적을 만한 데가 왜 없을까요
197,해당 앱 아이콘을 터치하면 바로 들어가는 것이 아니고 마치 늘 새롭게 설치하는 것처럼 화면이 떠서 별도로 열기를 터치하는 게 매우 불편합니다
198,너무 느려요
199, 손질 포장 생선 등
200,공인인증서 등록된 건데 계속 아니라 하고 뭐 어쩌란 건지 모르겠음
201,국민건강보험 즉시이체로 입금하려고 하면 앱에서 알림 창에서 입금 금액상이 1회 불입 단위가 있는 경우라고 보임 앱 예전 버전 엔 즉시 이체 잘만 되는데 요즘엔 계속 이창이 계속 뜨네요 빠른 개선 좀 해주세요 답변 좀 부탁드립니다 앱으로 새로 공동 인증서 받은 앱으로 이체를 해보았습니다 와와 공인인증서 보다 더 무진장 편해졌습니다 아주 편하게 이체를 하게끔 패턴과 생체 손가락 지문으로 이체할 수 있고 PIN 번호로 도 이체가 가능하게 매우 편하게 이체를 할 수가 있습니다 앱 굿 별 4개에서 별 한 개 추가했습니다 공동 인증서 만들 때 생체 인식 지문인식 받을 때 손가락 잘 사용 안 하는 손가락을 지문인식으로 사용하면 더 빨리 지문인식이 됨 손가락 에스크 래치가 있으면 인식이 잘 안됨 개발자님 누구신지 궁금 공동 인증서 발급 엄청 잘 만들었습니다 새로운 공동 인증서 발급 정말 설명도 아주 잘해놓아서 PIN 패턴 생체 오류 한번 없이 인증서 발급을 했습니다 그리고 숫자 틀릴까 봐 6번 넣어주시고 너무 좋아요 나이 드신 분들도 한 번에 공동 인증서 발급을 할 것 같아요
202,좋아요
203,거래내역 삭제 기능 좀 넣어주세요
204,편해서 좋다
205,멉니까 비번 계속 틀리다 나오고 이체도 안되고 계속 안되는데 최악이네요 주 거래 은행 바꿔야 하나요 별 한 개도 아깝네요
206,업데이트할수록 더 이상해지는 건 기분 탓일까요
207,앱 로그인 후 오른쪽 하단 전체를 누르면 화면 상단부근에 돋보기 모 양옆으로 메뉴명을 입력하세요 푸른네 모창 때문에 전체 메뉴 중 제일 윗부분 아무래도 계좌관리라고 써져있는 것 같은데요 이 잘려서 안 보입니다 아무래도 제 휴대폰 글씨체가 한 단계 크게 창 크기를 한 단계 크게 설정을 해둬서 이런 현상이 되는 것 같은데요 다른 앱들은 글씨체와 창 크기 때문에 전혀 문제가 되지 않습니다 우리은행 우리 won 뱅킹 앱만 글씨 크기와 찬 설정 때문에 이렇게 불편한 현상이 되는데 문제가 있는 것 같습니다 해당사항 다음 업데이트 때는 오류 수정해 주셨으면 앱 전체 메뉴 사용하기에 문제가 없을 것 같습니다
208,사용합니다
209,어떻게 된 게 이체가 한 번에 되는 일이 없나요 안정성 최악임
210,편함
211,며칠째 입출금 알람이 뜨지 않네요 개선 바랍니다
212,어플 열리지도 않고 삭제도 안되고 미치고 환장 이딴 게 다 있음 주 거래 옮겨야 할 듯
213,마빈이
214,업데이트 때문에 옮깁니다 업데이트 오류 심하네요 필요할 때 바로 이체 못 시키는데 이게 과연 필요할까요
215,아 정말 너무 짜증 나서 설치했어요 아니 잠금 해제할 때나 앱 실행할 때 자꾸 설치하라고 플레이스토어가 자동으로 실행되는데 정말 너무너무 짜증 나네요 쓰지도 않는 앱인데 제거하고 싶으니 이런 에러 사항 신속히 처리해주세요
216,정말 은행 어플 중 최악이 다 욕 나온다 인증에 인증에 또 인증에 또 인증 절차
217,굿
218,어플을 아예 바꿔서 등록을 처음부터 다시 하게 하네요 번거롭습니다
219,업데이트하라 해서 했더니 로그인도 안 되고 잘 되던 생채인식도 안되고 다른 방법으로 로그인하려고 해도 생채인식 보증서가 없다고 안되네요 웬만하면 이런 거 가지고 리뷰 안 쓰는데 이럴 거면 왜 업데이트했나요 CERA0081 자꾸 이렇게 뜨니까 해결해주세요
220,궁금한 게 있는데요 전에 제 핸드폰에서 제거랑 딸 거 공인인증해서 관리했었는데 제거 갱신했더니 지문 딸게 없어졌네요;;; 어떻게 해야 하나요
221,인증을 도대체 몇 번 해야 등록이 되는 건지 참나 생체 등록 좀 그만하고 싶다고요 아직도 등록이 안돼요
222,굳
223,굿
224,병 딱 같은 앱이라고 하겠다
225,좋아요
226,최악입니다
227,계속 에러 나고 오류라고 이체하는데 너무 짜증 나요 왜 이래요 고칠 생각도 없나요
228,35프른 646   떠나는 여행 잘 1 ᆢ
229,가입하기 힘드네요 원터치 알림은 가입 바로 됐는데 전자금융 가입할 때 계좌 비번 맞게 눌렀는데도 주민번호와 동일한 번호라고 오류만 뜨고 진행이 안되네요
230,앱이 열리지가 않습니다 며칠 전부터 그러는데 너무 답답합니다 왜 그런 거죠
231,계좌 거래내역 페이지에서 거래내역을 클릭하거나 펼쳤을 때 이체확인증 버튼이 있거나 바로 확인할 수 있으면 정말 편할 것 같습니다 업그레이드 부탁드려봅니다 고객 입장에서 뱅킹 개발해주시는 모습 수년 전부터 지켜봐 왔습니다 타은행 뱅킹 프로그램보다 확실히 그 부분이 나는 걸 항상 느끼고 있습니다 그리고 아래 내용은 진작에 업그레이드해주셨네요 감사합니다 얼마 전까지는 받는 분 통장에 표시 문구가 기본 저장되어 있는 것을 선택할 수 있게 되어있었는데 없어져서 이젠 보낼 때마다 입력해야 하네요 이러면 다운그레이드 아닌가요 이체건수가 많은 사람한테는 굉장히 편리한 기능인데 좋은 걸 없애는 건 이해할 수가 없네요
232,리뷰를 진짜 안 쓸 수가 없네요 하다 하다 질려서 리뷰 남깁니다 새로운 앱으로 바뀌었는데도 앱 통일성이 이렇게 하나도 없고 편의성이 이런 식이니 신규 핀테크 은행에 밀리는 거죠 신규 로그인하는데 정보 입력 뺑뺑이를 다섯 번이나 돌고 결국은 오류 창이 뜨네요  인증서 등록하다가 지문 입력하라는 팝업에 확인 누르니 인증서 등록 안 해서 안된다 나오고 뭔가 요구하는 창이 뜨면 그 메뉴로 가지 않고 메뉴 설명만 나오는 건 무슨 심보에요 만들고 나서 써보지도 않았나 보네요 로그인만 되면 다 빼고 카카오로 거래은행 옮겨야겠네요 끝
233,설치가 안돼요
234,와이파이  데이터 아무 이상이 없는데 며칠 전부터 인터넷을 확인하라며 T011이 계속 뜹니다 하루만 그런 줄 알았는데 계속 발생해서 그 단순한 입출금조차 못 하고 있습니다
235,별 한 개도 아까움 휴대폰 지문정보 변경했다가 아이디고 공동 인증 서고 로그인 다 안되게 막힘 비밀번호 변경도 못함 지문인증을 또 해야 하기 때문 요즘 누가 otp 이런 거 다 들고 다님 도대체 해결할 수 있는 길을 줘야 할 거 아님
236,이렇게 상욕 나오는 은행 어플은 처음이네
237, 네 네
238,우리은행 인증 오류가 몇 년짼지 모르겠다 점점 더 열받는 수준으로 진화 중
