,comment
45,칼삭당해서 다시 올려요 금융 아플 계의 양대 쓰레기 시티 농협 그 아성에 걸맞게 사용자에게 쓰레기 같은 시간 낭비와 분노를 유발합니다 어쩌면 이 농협과 앱 개발자는 사용자의 편의가 아니라 농협에 돈을 맡겼다는 이유 하나로 강제로 앱을 쓰며 고문을 당하는 불쌍한 피해자들을 구경하며 즐기고 싶었던 게 아닐까요 1 아이디 로그인을 하고 타행 공인인증서 등록을 하면 고객님 아이디로는 진행이 불가합니다 로그아웃 하세 요로 그 아웃 후 등록 진행  고객님은 아이디가 없어서 진행이 불가합니다   아이디 등록이 안됐나 회원가입 진행  고객님은 이미 아이디가 있습니다 2 Otp 등록  오류가 떠서 불가합니다 잠시 후에 다시 해주십쇼 무한 아마 농협의 잠시는 물질계의 시간과 다르기에 거진 7만 년 정도를 요구하는 게 아닐까요 으으 과연 킹협 3 웹 고객센터 문의  글 작성 남기기 오류 발생했습니다 네가 쓴 글은 전부 날아가셨습니다 농협의 또 다른 이름 농협 금융계의 오류킹협
46,농협 계좌에 카드를 쓰는 사람인데 어떻게 국민지원금 조회하는 걸 빙빙 돌아서 가야 합니까 서로 연동도 안돼 비밀번호 변경하는데 서로 호환도 안되는지 다시 변경하라고 하질 않나 기껏 농협카드 앱 갔더니 BC카드라고 다른 걸로 조회하라고 하질 않나 더구나 대문자 유지를 눌렀는데 제멋대로 풀리질 않나 어플을 와주 맡기고 만들었으면 관리라도 제대로 하세요 유효기간 지나면 바로 연 끊어버릴 겁니다
47, 아
48,왜 이렇게 오류가 심함
49,간편 뱅킹 설정했는데 이체할 때 왜 자꾸 보안카드 번호 입력하라고 뜨나요 그런 거 하기 싫어서 간편 뱅킹 설정하는 거 아닙니까 인증받고 간편 뱅킹 설정해놓으면 6자리 비밀번호만 치면 되는 거 아니던가요 누가 요즘 모바일 스마트뱅킹에서 보안카드를 보며 입력하나요
50,와 이거 어느 순간부터 로그인 안 되고 계속 로딩만 하다가 업데이트하라고 하고 열기 누르면 또 로딩 미쳤네요 일 안 합니까 사람들 불만들 쌓이는데 추석이라고 신나서 먼저 집 가셨나
51,앱이 너무 많아요 NH 뱅크 NH 페이 올인 뱅크 다 깔았는데 최근에 콕이 나지 쿡인지 또 나왔더라고요 사실 무료 송금이 가능한 토스 앱으로 은행 업무를 다 처리해서 농협 앱에 직접 들어가는 일은 적지만 통폐합해서 앱 정리가 필요할 것 같아요 앱을 안 써도 배터리를 소모시켜서요
52,아 유일하게 업데이트할 때 버그 있는 어플은 역시 농협 단연 1등입니다 고객센터에서 알려준 데로 해도 안되네요 빨리 버그 좀 잡으세요  몇 번인지 지웠다 깔았다 좀 지나면 되겠지만 사용자이지만 조금 짜증 나네요 NH Bank 요 어플만 자꾸 튕기네요
53,농축협에 낚였다
54,예전에 가입한 거 다시 이용 좀 해보려 왔더니 예전 전화번호라 바꾸려고 했더니 공인인증서 등록할 때도 예전 전화번호로 ARS 승인 요청 가고 간편 비번 등록도 예전 전화번호로 승인 요청 가고 이메일이나 다른 인증수단 하나 없이 오로지 예전 전화번호 달랑 하나 무슨 전화번호 바꾸려 설정 들어가도 최종 보스는 예정 전화번호 ARS 진짜 생각 없는 듯
55,이런 개떡 같은 어플이 본인인증 시 키패드 파니에 가려져서 다음으로 진행할 수가 없네 
56,간편 뱅킹 이체 시 오백만 원 이하 몇만 원 이체 시에도 보안카드 번호 등록하라고 나오는 건 뭔가요 몇 번을 간편 뱅킹 가입됐다고 확인을 했는데도 간편 뱅킹 등록은 됐는데 그걸 매번 어디서 확인해야 되는지 답답해죽겠음
57,업데이트하고 실행이 안됨 아니 개발자들은 업그레이드하고 실행도 안 해보나 이러고도 추석 보너스는 받아먹겠지
58,설정 완료
59,최고예요
60,편하게 사용할 수 있어서 좋아요
61,다른 농협 어플은 실행하면 자동으로 v3 mobile plus 보안 프로그램이 자동으로 실행이 되는데 NH 스마트뱅킹은 갑자기 실행이 안됩니다 원래는 됐는데 이번 주부터 안돼요 정말 찝찝해서 글 남깁니다 어찌하면 좋을까요 스마트폰 종료 후 어플 삭제 후 다시 어플 새로 깔았는데도 똑같습니다
62,편안하게 사용합니다
63,신용카드 사용 후 push 알람 올 때 누적 사용량 얼마 인지도 표시해 주면 좋을 거 같아요
64,편해요
65,어느 날부터 갑자기 집에 있는 와이파이 환경에서는 로그인이 안 되고 회사 와이파이 환경에선 로그인이 되네요 앱을 삭제했다가 다시 깔아도 똑같아요 갑자기 왜 이러는 거예요
66,잘 사용하고 있어요
67,기능은 개선되지 않고 여전히 같은 증상이 발생한다 스마트하지도 뱅킹도 안 되는 이 앱의 이름을 그냥 NH빡통이라고 해야 하지 않을까
68,좋아요
69,원래는 잘 사용했습니다 요새 어플 접속이 아예 안돼서 불편하네요 여러 번 시도해도 어플이 켜지지 않아요 너무 자주 그래서 후기 남겨요
70,잘 되네요
71,어제부터 접속이 안돼요 어플 지우고 다시 깔고 해도 로그인에서 계속 접속 중이다 에러 이런 식 반복 접속이 안돼요
72,리뷰 같은 거 어지간하면 안 남기는데 열받아서 다른 사용자들도 좀 보라고 남깁니다 별 점 한 개도 아깝다 통합 관리가 안 되는가 보다 쓰기도 불편한데 농협 앱을 세 개나 깔아야 되고 콕뱅크나 오랜 원도 사용하기 불편했는데 이건 더함 급여 아니었으면 사용할 이유가 단 하나도 찾을 수 없음 앱 개발에 돈 좀 씁시다 엔간한 중소기업 어플보다 후졌네 진짜
73,앱에서 국민지원금 이용내역 등 관련 정보들은 못 보나요
74,Questions 32
75,가입하기 개 어려워서 바로 삭제
76,정말 입출금 간단한 것조차 알림을 안 알려주니 이래도 되는 겁니까 꼭 유료 해야 해주는 건가요 옛날엔 꼬박꼬박 천 원을 빼더라도 알림이 왔었는데 이젠 올 생각도 안 해요 하라는 대로 설정에 수십 번 체크하고 테스트 삼아 몇 번을 반복해도 복창 터지게 만드는 앱 야요 요즘 젊은 프로그래머들이 신경 전혀 안 쓴 것 같아 괘씸하네 그대들은 한 번이라도 테스트해보고 이용자들에게 권장하는 건지 묻고 싶네요
77,아니 설치 자체가 안 되네요 안 되는 이유라도 알고 싶네 진짜
78,무한 로딩 후 대접을 유도하더니 진행 중이니 이미 신청한 걸로 다시 진행 하라면서 들어가지도 못하니 대면하라는 헛소리를 듣네요
79,이체 중 스스로 500원을 이체금액에 추가해서 처리하지 않고 이체할 금액에서 차감해서 처리하여 입금 금액이 500원 부족한 상황이 벌어져 울며 겨자 먹기로 수수료 500원을 더 내고 입금했습니다 이 체내 역에도 수수료 얼마 수입금 금액 얼마 이렇게 보이게끔 해주세요
80,잘되다 한번 업데이트하고 나서 앱 실행하고 비번 누르면 안 된다고 접속 못한다고 여러 차례 뜨다가 어쩌다 접속됩니다 삭제하고 깔면 인증서 다시 입력해야 할까 봐 귀찮아서 그냥 쓰긴 하는데 불편합니다
81,계좌 확인 눌러도 먹통이네요
82,아니 주민등록 인식이 안돼요 며칠째 사진 찍기 시도했는데 안되네요 별 하나도 아까워요 깔지 마세요
83,카카오뱅크처럼 편하게 좀 바꿔보세요 너무 불편합니다
84,컴퓨터 안 켜도 되니 좋아요
85,이전에 잘 썼는데 어느 순간부터 간편 로그인이 바로 되질 않습니다 똑같은 번호로 45번은 시도해야 될까 말까네요 오류메시지로는 비밀번호가 틀렸다 맞게 입력해도 틀렸다 함 전산시스템이 어쩌고저쩌고 아주 가끔 회원이 아니다 이런 유의 메시지도 뜨고요 뜨건 말건 계속 같은 번호로 시도하면 결국 들어가지는데 이거 해결 안 되나요
86,욕이 그냥 튀어나오네 아오
87,신분증 촬영이 너무 안돼요 농협 찾아가 직원분이 해보셔도 안돼요 개선 좀 해주세요
88,전 잘 쓰고 있습니다 개발자님 파이팅이요
89,계좌 개설하는데 마지막에 ARS 인증까지 하고 다음으로 넘어가기만 하면 되는데 에러 메시지 뜨면서 안 넘어가네요 신규 고객 안 받겠다는 뜻인지  당황스럽네요
90,재난 지원금 때문인 진 모르겠지만 로그인 계속 안되네요
91,생활비 대출 시 휴대폰 번호 입력이 안됩니다
92,앱을 깔고 간편 비밀번호 설정해두면 Otp 없이 이체 가능해서 너무너무 편리합니다 보안이 어떤지는 신뢰성 문제로 철벽 방범해주시겠지요
93,아니 가입하려고 개인 정보 다 치고 아이디 기입했더니 자꾸 가입된 아이디라고 뜨는데 이게 대체 뭔가요 답답해서 미치겠네요 진짜 돌아버리기 일보 직전입니다 처음에는 내가 옛날에 가입했었는데 착각했었나 싶어 비밀번호 찾기를 해봤지만 없는 아이디라고 뜨고 새로운 아이디를 계속 계속 기입하는데도 전부다 이미 가입된 아이디라고 뜨네요 가입 안된 아이디가 있긴 합니까 앱을 지웠다 다시 깔아서 해봤는데도 여전합니다 민증 인증만 대여섯 번은 한 것 같네요 오류인 거 같은데 좀 고쳐주세요 당장 회원가입도 못하면 어쩌자는 건가요
94,매우 만족하오
95,농협 은행 카드 관련 어플만 합치니 6개네  통합해서 관리 못하는 거지 안 하는 게 아니고 그게 능력
96,비슷한 기능 쪼개서 어플 여러 개 만들어 헷갈리고 비효율적 어플 하나하나가 죄다 결점투성이고 시대에 뒤떨어짐 디자인 기능 편의성 등 모든 것이 잘 쳐줘야 B급
97,지금까지 써본 뱅킹 앱 중 압도적으로 제일 구림 칼뱅이나 써라
98,신분증 인식 시키다 집어던질뻔했네
99,어플 언어 변경이 중국어로 바뀌어버렸네요 상담사에 통화를 해보니 본사에는 책임이 없다는 회피성 발언만을 일삼네요 농협 거르는 이유를 뼈저리게 느끼고 갑니다
100,재난지원금 신청 인증번호가 안 옵니다 공기업이라서 일 대충 하시나요
101,요새 가짜 어플로 사기 치고 다니는 세상인데 어플 사용하려면 계좌번호랑 계좌 비밀번호를 달라니 인증 절차 같은 거 철저히 하고 합시다
102,이거 모바일 otp로 하지 마세요 시큐리티 카드로 노빠 구입니다 물리 otp도 없어요 그냥 시큐리티 카드 사용하시는 게 속 편할 거 같아요 참고로 불만 사항도 적지 마세요 몇천 자 다 적고 등록하면 not found page 떨어집니다 불만 따위는 받지 않겠다는 거죠 방금 경험 그냥 이건 버리는 앱이다 생각하시고 맘에 안 들면 타은행으로 가시고 여기는 버리고 가세요 잘 있어 농협은행
103,살짝 끊기는 정도인데 앱 사용하는 데는 문제없네요 사용하지 않는 계좌도 알 수도 있고 만족합니다
104,로그인하세요 로그인하세요 로그인하세요 무한 반복
105,오늘 계속 오류 남 로그인 안 됨
106,통신사 오류는 또 뭐야 가지가지 하네
107,형편없네요
108,처음이라서 쉽지 않네요
109,앱 개발자를 해고하면 좋을 듯
110,아니 요즘 로그인이 왜 이리 안되죠
111,로그인이 잘 안돼요 급할 때 몇 번씩 다시 해야 하니 불편하네요 개선 바랍니다
112,지금 앱 로그인 안 되는 거 같은데 요 몇 시간째
113,갑자기 앱 켜니까 로딩만 주야장천하고 로그인도 안 되네요 삭제했다 재설치해도 여전하고 아예 앱 사용 자체를 못하고 있네요 매우 불편합니다
114,그냥
115,다시 끄고 들어가도 계속 잔액 미조 회로 뜨고 거래내역 들어가면 오류로 뭘 할 수 없네요
116,직원 이 어플 안 깔아줘서 한참을 헤맸네요 진짜 너무 궁금한데요 고객 의견 다 반영하세요 어플 접근성 겁나 짜증 나는 거 아시나요 빠릿빠릿에 적응된 젊은 나도 짜증 나는데 다른 연령대는 어떻게 쓸 수 있을까요 이거 사내 어플인가요 접근성 진짜 떨어져요 다른    젊은 사람들이 자주 쓰는 은행의 어플 한 번이라도 들어가 보신 적 있으신가요 그런 것들만 쓰다가 이거 쓰니까 속 터져서 계속 욕했어요 진짜 월급만 아니면 이거 안 까는데 아오
117,네 농협 계좌는 편리해서 좋아요
118,좋아요
119,아니 무슨 이런 어플이 있나요 가입도 계좌 없음 안되고 계좌조회도 안되고 계좌 발급도 안되고 결국 전화로 문의했더니 상담원 이하는 말 올인 뱅크로 가서 하라네요 계좌 발급은 또 다른 번호로 전화하라며 번호 적으라네요 다른 은행들은 안 그런데 농협은 왜 이렇게 복잡하게 해놓는 걸까요 농협 거래하기 싫어지네요
120,올원뱅크나 콕뱅크에서처럼 스마트뱅킹에서도 바로 제로 페이 사용할 수 있게 할 수는 없나요 여러 앱을 설치하려니 번거롭고 불편합니다
121,아니 스마트 알림도 무반응 스마트뱅킹에서 입출금 알림 신청해도 무반응 내가 만들어도 이거보다 잘 만들겠다 무슨 은행이 이따위 어플밖에 못 만듦 어디 하청 준거임
122,우수함
123,NH 스마트뱅킹을 자주 이용하면서 일상생활이 더욱더 많이 편리 해졌습니다 앞으로 끝까지 NH 스마트뱅킹을 이용하겠습니다 고맙습니다
124,어플 좀 하나로 통일하면 안 되나요
125,가입이 안되네요 데이터 문제도 아닌데 가입하려고 하면 5분 정도 있다 로딩이 안된다고 뜨네요
126,정복 쟤
127,아직 학생인데 중학교 올라와서 농협카드 만들었어요 근데 이 앱 깔고 사용해보니까 인터넷 결제도 정말 편리해서 엄청 좋아요 이용내역 완전 간편 근데 얼마 남았는지도 확인 가능했으면 좋겠어요 그래도 얼마 썼는지 남아서 편하네요 완전 잘 이용합니다
128,최악 그 자체 아니 신분증 인식도 못 하고 사진촬영 자체가 안 됨 api 멀쩡한 거 잘 가지고 와 쓰던 가 진짜 개발자 후
129,별 1개도 아까움 비대면 통장 개설하려는데 신분증 인식을 못함 어떤 방법을 써도 안됨 보험 앱도 이따위더니 쓰라는 건지 말라는 건지
130,농협 어플 x 같다
131,오늘 오ㅐ 하루 종일 어플이 사용이 안 되죠  들어가지기는 하는데 다른 탭 누르면 동그라미만 백 시간 돌아가고 있어요
132,스마트 알림에서 뱅킹 어플 안에 알림 기능 있어서 삭제하고 이걸로 쓰는데 어느 순간 알림이 안 오네요 일일이 어플 들어가서 확인해야 함 혹시나 입출금 알림 해제했나 싶어서 봐도 제대로 연결돼있음 내 돈 보관하는 곳인데 어플 관리 좀 하세요 알림 어플 안돼서 넘어왔디만
133,좋아요
134,농협 앱은 도대체 뭘 어찌 써야 할지 몰라서 토스로 쓰는데 좀 개발 좀 해줘요
135,이체 완료 화면이 아니라 최초 앱 실행 후 이체 버튼을 누르는 타이밍에 배너가 올라와서 반강제적으로 누르게 된다고요
136,Good
137,거래내역 보려고 했더니 무한 로딩 열 번은 더 해봤는데도 안돼서 화나서 지우고 다시 깔음 근데 이젠 로그인부터가 안 됨 개빡침
138,제발 갑자기 왜 그러는데요
139,몰라
140,속도가 구려요
141,좋아요
142,공동 인증서나 아이핀으로 간단히 본인인증을 할 수 있는데 본인 명의 휴대폰이 없다고 서비스 가입 자체를 할 수 없다니 참 기가 막힌다 다른 은행들은 다 되는데 왜 농협만 안되는가
143,급하게 이체해야 하는데 먹통 어쩌란 건지
144,로딩 무제한 쳐돌았네 나만 그런 게 아니구먼 농협 쳐돌옴  미쳤니
145,계좌이체나 이 체내 역 보는 거는 당연히 편리하고 지금도 잘 쓰고 있습니다 좋네요
146,은행 앱이 로그인이 안 되다니 한두 번도 아니고
147,절라 불편해요
148,신분증 30번 찍었는데 안됨 개 같아서 안 쓴다
149,계좌 개설했는데 통장번호 안 알려주나요 이메일에도 안 적혀 있는데
150,베리 베리굿
151,큰 글씨가 좋아요
152,안전하고 편리해요
153,잔액 확인하려는데 2개월 전거만 표시되는 이유는 뭘까요 현 재 금액을 알 수 없네요 앱 재정비가 필요해요
154,너무 편하고 간편해요
155,적금 들으려 하면 이체한도가 초과됐다나 뭐라나 이럴 거면 금융상품관 왜 만듦
156,아 로그인하면 버퍼 1분 정도 걸리고 오류 뜨면서 나가지는데 스트레스받네요 인터넷 연결 문제는 아닌 거 같고 딴 거는 다 잘 되는데 이 어플만 자꾸 그러네요
157,그럭저럭
158,우대 통장을 만들었는데 왜 계좌번호를 안 주나요 계좌번호를 줘야 회원가입을 하든 말든 할 텐데
159,간편 뱅킹 가입 너무 힘듭니다 계좌 장기이 사용 해제와 간편 뱅킹 가입 시도만 세 번째 해결되지는 않고 뭐가 안 된다 안 된다 무한 루프네요
160,개 좌 개설에서 안 넘어가짐 다른 은행은 계좌개설용 어플 따로 두는데 여기는 스마트뱅킹 올인 뱅킹 콕 뱅크 이름만 다른 어플 여러 개 만들어놓고 관리를 안 하는 듯 전화로 문의해도 3곳째 다른 곳에 연락하라고 전화 돌림
161,다운로드가 안 되네요
162,뭘 하든 한 번이라도 로딩이 멈추면 뒤로 가기 닫기 전부 다 안되고 앱을 껐다가 켜서 처음부터 자시 진행해야 되는 미애 청년 앱이다 심지어 발생한 부분 지속해서 같은 문제 발생함 어차피 이섀끼들이 고치지도 않을 거라 확신해서 같은 문제를 다른 고객이 더 겪어서 사용자 이탈하라고 어디 부분 버그인지 말 안 해줌 너희들도 당해라
163,잘 되고 있어요
164,주민등록증 사진 인증이 너무 안돼서 콜 뱅크로 깔아서 사용 중이네요 안 되시는 분들 참고하시길
165,계좌 개설하려는데 휴대폰인 증 마치면 자동으로 인증번호 재발송시킴 이후 이용약관 동의 칸이 자동으로 해제되고 다시 체크가 안됨 그리고 휴대폰 인증은 만료라 뜸 계속하다 보면 약관 체크 무시하고 넘어갈 수 있는 버그 있는데 이미 있는 계좌와 중복된다고 개설 불가 뜨고 처음으로 가짐 농협 처음 쓰는데
166,만족합니다
167,민증 촬영이 노 답이고 어두운 곳에서도 시도했는데도 안됨 수동 기능 필요
168,아주 좋아요
169,너무 편리하고 어렵지 않아서 좋아요 누구에게나 권하고 싶어요
170,원격 프로그램 실행 중이라는 안내 창 뜨면서 사용이 불가한데 어플을 모두 강제 종료하여도 개선되지 않습니다 하나은행 KB 은행은 다 사용 가능한데 농협은 왜 사용이 안 되나요 또 NH 카드는 실행이 되는데요 이상하네요
171,왜 1년 지난 거래 내역은 표시가 없나요
172,개발자 돌대가리야 칼뱅처럼 가볍게 좀 만들어라 6자리 숫자치고 로그인할 때 왜 이렇게 빙빙 도는 거야
173,로그인이 안 돼요
174,자꾸 로그인 오류라고 뜹니다
175,현재도 QR 촬영 납부 기능이 제대로 되지 않습니다 납부번호 입력하는 게 번거롭네요 납부용 바코드 및 용지에 있는 모든 QR코드 다 찍어봤습니다 카카오페이 QR은 잘 됩니다 기종 갤럭시S20 업데이트 버전 현시점 기준 최신
176,약정서 신청 동의를 해도 다음 단계로 넘어가지질 않아요
177,대출 관련하여 얼른 처리해야 하는데 오류 나서 삭제했다 다시 깔려고 하니 깔리지가 않아요
178,며칠 전부터 원격 프로그램이 발견됐다고 팝업이 뜨면서 로그인 자체가 안되는데 그 프로그램이 어떤 건지 누가 아나요 그리고 예전엔 다른 프로그램이 있더라도 실행 잘 되더니 저 팝업 때문에 일을 못 봐요 어떤 조치를 해야 되나요
179,언제부턴가 로딩이 안된지 오래됐어요 빙글빙글 돌기만 하고 열리지가 않습니다 비슷한 리뷰들이 보이는데 아직 원인을 못 찾은 건지 많이 황당하네요 일반 사기업 같으면 일어날 수 없는 일이네요
180,왜 이렇게 자주 오류라 뜨나요 너무 불편합니다 자주 오류라 뜨고 농협 앱이 이상한 건데 비번 오류라 그러고 황당하네요 수정 좀 해주세요 아고 답답
181,매번 오류 나고 점검하고 앱을 관리를 하시긴 하는 건가요 어떻게 1달에 적어도 1번 이상 오류랑 점검을 하시나요
182,앱이 갑자기 안되네요;; 전에도 그랬다가 아졌는데 또 이럽니다
183,에러 난 거 양식대로 메일 보내면 기프티콘 보내준다더니 정보만 받아 가고 왜 안 보내주시나요
184,아니 19세 미만도 가입되게 해주세요 제발
185,간편 아이디 로그인 오류 좀 고쳐라 계속 오류 뜨고 전산이니 뭐니 로그인을 할 수가 없네
186,결제할라니까 잔액부족 떠서 어플 들어가 보니까 잔액이 조회라고 뜨면서 오류 났네요 결국에 행사 상품 구매 못했습니다 참 감사하네요 적금 만기되는 순간 농협은 쳐다도 안 봅니다
187,아니 갑자기 안돼서 어플 지우고 다시 깔았는데 이거 왜 안되는 거죠 무한 로딩만 하네요
188,푸시 알람에 적금 만기 등 다양한 알람 추가 고려해주세요
189,대출상품 한도 알아보는 과정에서 공동 인증서 로그인 시 아래의 인증서를 선택하세요라는 메시지 아래가 아무것도 없는 흰 텅 빈 바탕입니다 개선해 주세요
190,타 기관 인증서 등록에서 개명 전 이름 뜨는데 자동 업데이트 왜 안 되나요 그 이름 안 쓴지 거의 7년 돼가는데
191,soso
192,머 하는 건지 또 무한 로딩이 네 업데이트하라고 해서 했더니만 무한 로딩이 네
193,아니 내 생일 알고 내 계좌 알고 비번은 엄마 생신이신데 이게 안 맞는다고 어 5번 틀렸다고 카드를 정지시켜 장난해 진짜 왜 어이없네 우리 엄마도 내 카드 정지를 안 시키는데 감히 농협이 날 정지시켜 왜 안되죠 왜 제발 풀어주세요
194,와속 터 저서 못쓰겠다
195,욕만 나오네  그놈에 ARS는 언제 되나요 며칠간 계속 시도 중인데 한 번이 안 걸리네요  장난하는 것도 아니고 내가 발로 코딩해도 이것보단 잘하겠다
196,무한 로딩 중이에요 며칠째 계좌이체해야 되는데 왜 안되죠
197,농협 파이팅 대출 잘 막았습니다 이자율 70 상향 소식 기다리겠습니다
198,좋긴 한데 농협 이미지가 개창이라 간간이 불안해질 때가 있음
199,눈 나쁘다 글씨 예전처럼 크게 해도 계좌번호 안 보인다
200,이게 앱이냐 이렇게 만들고 월급 받는 직원들 잘라라 카드 지문등록만 이틀째 하고 있는데 아무것도 안됨
201,저만 그러는지 모르겠는데 한두 번이 아니어서 글을 올리기로 했습니다 이체할 때 항상 상대 계좌를 누르고 금액을 누르려고 하면 가지고 있는 출금 계좌들이 뜨면서 자주 쓰는 계좌 번호가 없다고 하는데 내 손가락으로 다른 걸 잘못 누른다고 생각했는데 이래도 저래도 한두 번이 아니어서 늘 다시 상대의 계좌를 다시 눌러야 하는 상황이 여러 번 발생합니다 가끔은 입금 계좌 집어넣을 때 내 계좌가 입금 계좌가 그곳에 뜨기도 하는데 전 이 상황이 뭔지 저도 모르겠네요 문자나 카톡으로 받은 번호를 힘들게 왔다 갔다 번갈아 가며 어렵게 번호를 넣었는데 제발 그 간단한 상대방 계좌를 넣고 입금 금액을 한 번에 끝냈으면 하네요 다른 은행 시스템은 이런 경험을 단 한 번도 없습니다
202,갑자기 안되네요 입금 알람도 출금 알람도 저만 그런 건 줄 알았는데 리뷰 보니 그런 것도 아니군요 한 3일 정도 안된 거 같은데
203,이번에 농협으로 다 옮겼는데 회원가입도 안되고 인증도 안되고 왜 이러는 건가요 다른 은행 어플 쓰면서 이런 적 한 번도 없었는데
204,    느
205,지문인증 로그인은 100만 원 미만일 경우 otp를 배제해줬으면 농협 개불 편하게 하네요
206,왜 처음 화면에서 로딩 상태에서 멈추는지요 주 거래가 농협인데 답답하네요 해결방안 좀 알려주셨으면 합니다
207,신분증 촬영하려고 확인을 눌러도 카메라가 안 켜짐
208,왜 원격 앱 있다고 실행이 안 되나요 하 
209,원격 프로그램 실행이 탐지되었다고 종료해야지 사용 가능하다고 합니다 모든 프로그램 종료하고 폰 껐다 키고 별 난리를 쳐도 로그인조차 안됩니다 원인이 뭔가요
210,이체할 때마다 오류 또 오류
211,네트워크 오류는 왜 뜨나요 급할 때 이러면 진짜 답답해요 핸드폰 껐다 켰다 앱도 수차례 다시 깔았는데
212,문의사항 아니었고요 처참한 앱 상태를 말씀드린 거예요 어느 부분이 안되는지 순서대로 친절하게 적어드렸는데 작동 제대로 안되는 거 고칠 생각이 있으면 그것만으로도 충분히 디버깅해보실 수 있을 텐데요
213,비대면 계좌개설하고 계좌 확인도 못하네 안내도 없고 답답
214,어플이 왜 4월 말에서 통장 내역을 볼 수가 없죠
215,갑자기 실행 안됨 업데이트까지 다 했는데도
