,comment
10,첫 화면이 안 열려요
11,로고 바뀌고 서부 터 푸시 알림이 안 됨 토스은행 생기면 바로 갈아타야지
12,입출금 알림이 몰아서 오는데 이럴 거면 알림 기능 빼버려시죠 새로운 도약을 한답시고 이상한 CI로 바꾸든 말든 상관 안 하는데 기본적인 기능은 똑바로 해야지 퇴보하면서 도약을 어떻게 하겠습니까
13,요즘 들어서 체크카드 사용내역 알림이 바로바로 안 오네요 사용 즉시 재깍 알림이 왔으면 좋겠어요
14,충전기를 꽂을 때만 앱 열림이 뜨네요 뭔 짓을 한 겁니까 잣 같네요 0
15,정말 불편하게도 만들어 놓고 쓰라 하네
16,로고 원래대로 돌려줘요 이전 로고가 훨씬 낫습니다
17,앱이 안 열려요 안내 메시지에 15221000에 전화하라고 해서 했는데 평일에 전화 하라고네요 주말에는 어쩌라는 건지 앱을 제대로 만드시던가
18,업데이트 부탁드립니다 업데이트 이후로 출금 내용이 지연 알림 되는데 이거 때문에 가계부 어플 사용에 문제가 생기네요  바로 알림 될 수 있도록 신속한 업데이트 부탁드립니다 케이뱅크 체크카드 잘 쓰고 있어요
19,거래 관련 알림이 기본적으로 뜨지 않고 앱을 켜야지 밀렸던 알림이 다 뜹니다 혹시 절전상태나 백그라운드 작동 제한이 걸려있나 했는데 그건 또 아니네요
20,어플에 들어갔을 때만 알림이 몰아서 와요
21,오래간만에 접속했는데 한동안 삭제한 줄 알고 잠깐 헤맸음 왜 ci를 이렇게 바꾼 거지 시인성도 안 좋고 은행명이 바뀐 줄 알고 기사 검색까지 했음 디자인 진짜 이상함 이쁘게라도 하던가 색 배색은 진짜 디자인 의뢰할 돈 아끼고 직원 공모해서 한 건지
22,잘 쓰고 있었는데 업데이트한 순간부터 결제 내역 팝업이 안 떠요 매번 어플 들어와야 하니 너무 번거롭네요 버그 확인 좀 해주세요 갤럭시 플립 3입니다
23,편리함
24,입출금 알림이 업데이트 이후로 앱에 들어가야만 뜨네요
25,휴대폰 OTP도 작동 안 되고 입출금 알람도 안 오네요
26,입출금 알림이 너무 안 와요
27,따봉
28,1어플 색이 바뀌어서 케이뱅크 어플 어디 있나 찾게 됨 2 비밀번호 누를 때 자꾸 간편 번호 등록 화면으로 넘어감 3 계좌번호 입력하는 화면에서 붙여넣기로 넣으려고 하는데 입력창이 키보드에 가려서 보이지도 않음 이체 한번 하려고 하는데 다른 어플들은 한 번에 할 과정도 두세 번씩 왔다 갔다 해야 됨
29,요즘 입출금 알람이 왜 실시간으로 안 뜨죠
30,신분증 인식도 안되고 겨우 했더니 자꾸 다시 하라 하고 짜증 나네
31,주변에서 카카오뱅크 써도 꾸역꾸역 케이뱅크 썼는데 케이뱅크라고 하면 알지도 못해서 이체할 때 한참 찾는데 로고를 저렇게 바꿔버리면 어쩌자는 건지 사용자들이 불만이 많으면 수용하고 다시 고칠 생각을 해야 저 무슨 답변 붙여넣기 중인지 이러니 절대 카카오뱅크를 이길 수가 없지 그리고 입금 알림도 왜 이리 늦게 오냐고요 개선이 안되면 결국 카카오 이용하는 수밖에
32,아니 불편하게 케이뱅크인데 로고가 로고M자로 바뀐 거죠알림도 엠대로 오니 이상하네요 안 그래도 사람들 케이뱅크 잘 모르던데 다시 로고K로 바꿔요 얼마 전부터 입금 알림도 안 와요
33,좋아요
34,알람 뜰 때 로고M 보고 메시지 온 줄 알고 놀란다 항상
35,몇 년 동안 잘 사용 중이었던 한 사람으로서 요즘 브랜드 마크 변경이나 앱 편의성 디자인 별로긴 한 듯 거기다 요즘 입출금 알림이나 이런 것들이 오류 및 표시가 안됨 젤 기본적인 건데
36,앱이 안 깔리네요
37,갑자기 입금 알람이 안 와요 갤s 10
38,설치가 안돼요
39,그동안 잘 이용해오다가 갑자기 오늘 오전 접속하려니 v3 모듈 초기화에 실패하였다는 에러 메시지가 뜨면서 접속 불가 고객센터 전화했더니 V3 모바일 플러스 앱 삭제 후 재설치하래서 했는데 역시 안됨 그러자 안내하시는 분 왈 우린 전산팀이 없어서 더 이상 어렵고 v3 만든 안랩에 직접 전화해서 해결하셔야겠어요 그래서 제가 제가요  했더니 그분 왈 예 고객님이 하셔야 합니다 예  전화 끊고 케이뱅크 앱 지우고 v3 플러스 앱도 지우고 휴대폰 껐다 켜서 케이뱅크 앱 재 설치하니까 다시 접속되네요 음 이거 믿을 수 있는 은행인가 하는 의구심이‍ 그동안 가지고 있던 신뢰가 한순간에  고객 불편에 좀 더 적극적으로 대응해주면 좋겠어요
40,v3 모듈 초기화 실패 뭔가요
41,오랜만에 업데이트하고 잠깐 써보니 왜 욕을 먹고 있는지 알 거 같네요 접속부터 오류가 너무 많아서 짜증이 밀려 옵니 다카 땡땡 뱅크와 비교됩니다
42,개 같은 어플 진짜 업비트 아니었으면 바로 삭제때려밖았다 아오
43,온라인 복권을 이용하려고 다시 케이뱅크를 설치하였는데 로고가 바뀌어서 조선족 사기 앱인 줄 알았네요 많은 분들이 이용하긴 하는데 오랜만에 써보는 사람은 헷갈릴 듯
44,케이뱅크가 주 거래입니다 케이 자체가 로고K인데 왜 로고M 을 박았지요 그리고 금융사 대부분 파란색 어플 쓸 때 케이뱅크만 핑크라서 독특하고 예쁘고 찾기 쉬웠는데 로고M 마크도 네이비도 너무 별로예요
45,좋아요
46,로고M K뱅크로 업데이트하고부터 너무 느려졌다 입금 출금 알람이 한참 있다 오네 그리고 뭔 케이뱅크의 핵심인 로고K를 버리고 로고M을 넣어놨냐 진짜 디자이너들 제정신인가 붉은색 로고K 얼마나 멋진 대 로고M이 뭐냐 로고M이 나무랑 콜라보 하는데 기존 사용자는 안 준다 이건 뭐다 별점 내린다
47,앱 찾어가다가 시간 다 쓰네요 도대체 케이뱅크 글자 어디에서도 찾을 수 없는 로고M자가 왜 떡하니 박혀있는지 이해불가입니다
48,아주 좋아요
49,이체 누르고 비밀번호 입력하려고 하면 갑자기 비번 재등록 화면 뜨고 재등록 누르면 신분증 사진 찍어 인증부터 하란다 일단 급하게 이체부터 하려고 뒤로 가면 금액부터 계좌까지 다시 입력해야 하고 이 짓을 몇 번 반복해야 겨우 이체 가능 예전엔 키뱅이 이체 편해서 썼는데 이젠 일반은행보다 더 불편하고 화가 나
50,삶의 질을 바꿔준 최고의 은행입니다  연계  카카오뱅크를 꼭 넘어섰으면 좋겠습니다 그리고 댓글들 개 한심하네 카카오뱅크 로고는 B인데 이건 아까 노
51,별로
52,케이뱅크 직원들은 좀 멍청한 건가요 케이뱅크 면 로고K 박아 놔야 찾기 편한데 뭔 로고M이 튀어나와요  다시 바꾸세요 초등학생들한테 색연필 주고 디자인 시켜도 이것보단 잘 만들듯 비트코인빨로 몸집 키우더니 정신은 아직 못 차렸나 봐요
53,사장은 여기 리뷰 안 보나요 이게 m뱅크야 케이뱅크야 여기 리뷰들 출력해서 면전에 보여주고 싶네요
54,새롭게 바뀐 다음부터 접속하는데 어 어 어 엄청 느려 터졌음
55,아니 홍콩에서 지내는 중인데 다른 은행들은 다 되는데 얘만 안 되나요 어플 월급 3달 치가 여기 잇는데
56,회원가입이 안되는데 어떻게 계좌를 만들려는 건지 모르겠네요
57,최고예요
58,접속이 안됨
59,케이뱅크인데 왜 로고에 로고M만 들입다 크게 적혀있는지 아무도 이해하지 못한다 분명 높은 분 생각이겠지 직관성과 시인성은 개나 줘버린 결정이다 일류가 못 되는 데는 다 이유가 있는 법이다 그리고 뭘 애정과 관심으로 지켜봐 주라는 건지 기업이 아이인가 기업은 기업일 뿐 애정과 관심은 직접 찾아야 하는 거고 다른 대체재가 없는 것도 아니니 다들 떠날 날이 멀지 않았다
60,진짜 최악의 어플로 살면서 리뷰 첨 쓴다  매크로 답변부터 사용자들의 사용감이 매우 불편해서 다들 켜지도 않은 어플이 될 거 같네요
61,아주 좋아요 
62,기존 로고에서 알아볼 수 없는 아이콘으로 바꿔놓은 걸 이해할 수가 없네요
63,아 진짜 귀찮아서 어플 평가 한적 없는데 이건 써야겠다 케이뱅크인데 왜 아이콘을 로고M을 써놨어요 진짜 어플 쓸 때마다 못 찾겠음  로고K 어디 갔냐고요
64,업비트 아니었으면 쳐다도 안 봤다 이기야 
65,로고M으로 오길래 메일 온 줄 알았네 갑자기 왜 바꾼 거야
66,안녕하세요 케이뱅크 어쩌고 씨불이는 거 좀 그만 달고 많은 사용자들이 문제점 제기하면 수용하고 고쳐보도록 노력이라도 해야 하는 거 아닌가 매크로 답변만 달지 말고 로그인 좀 어떻게 좀 해봐라 왜 그전에 잘 되던 거 바꿔서 이 고생이냐들  마지막에 로그인 한 거로 계속돼야 하는데 지문 해놔 도 비번만 나오고 콜센터 전화해보니 마지막 로그인 정보로 된다고 말로는 그러는데 안된다고 젠장 너희들은 앱 만들고 사용들은 해보냐
67,3시간째 설치 중으로 나옴
68,계좌개설 시 휴대폰 본인인증 후 다음 버튼이 눌리지 않습니다 왜죠
69,설치 안됩니다
70,느리고 버벅거리는 건 해결을 못하시나 봐요 카카오뱅크 개발자랑 케뱅 개발자랑 수준 차이가 많이 나요 개선한다더니 개선이 되는지도 모르겠네요 업비트만 아니면  
71,외국인은 가입도 안됨 다른 국내은행 다 쓰고 아파트도 자가인데도 차별 회사
72,회원가입도 안되는 3류 어플 버튼이나 누르게 해라
73,좋아요
74,회원 가입할 때 다음 버튼 안됨
75,리프레시 관리나 좀 똑바로 하세요 인증이 안돼서 쓰질 못하고 있는데 한 시간 전에 재부팅하고도 이 정도입니다 서버 관리팀 뭐 해요 개발팀 뭐 해요
76,넘어가지도 않아요
77,도대체 누가 아이디어 냈나요 이름을 그냥 바꾸세요 m뱅크로 이번 적금 끝나면 그냥 옮길게요 그동안은 괜찮아서 3점 드려요
78,좋음
79,앱 실행이 안됩니다
80,앱 먹통에 급한데 켜지지도 않는 앱
81,어플 렉이 너무 심함 업비트 때문에 쓰고 있는데 역대 은행 어플 중 최악인듯싶네요 어플 개선 좀 하세요
82,로고는 신뢰에도 많은 영향을 줍니다 갑작스러운 로고M 로고로 바뀜에 혹시 헤지펀드에 인수되었나 검색해보게 됩니다
83,진짜 dog 같아짐
84,일단 앱 업데이트 이후 선택한 로그인 인증 방식이 유지가 안됩니다는 리뷰 피드백 등록된 지가 한 달인데 아직도 안 고친다는 게 믿기질 않네요 은행 쓸 때 매일 진입 때마다 쓰는 인증 쪽 오류를 긴급히 고치긴커녕 한 달을 놔두다니 인터넷뱅킹으로 뭘 할 의욕이 있긴 한 건가요 상품이나 기본기는 경쟁사보다 낫다고 생각해서 계속 쓰고는 있는데 로그인할 때마다 이걸 아직도 안 고쳤다고 놀라면서 화가 나네요
85,아니 케이뱅크 면 로고K로 해야지 무슨 생각으로 로고M으로 바꾸냐고 헷갈리게 요새 오픈뱅킹하면 다 엠블럼 보고 찾는데 이용자 수 떨어져 나가는 소리가 들린다 엠뱅크로 사명 바꾸면 인정
86,바탕화면에 앱이 안 깔리는 이유는 뭔가요
88,촬영 불가
89,입 출금이 자유롭고 편리해서 좋음
90,업데이트하더니 앱이 이상해짐 계좌이체하려니 수신 계좌 받을 분 입력한 이 없다 최악
91,좋아요
92,아니 왜 재난 금 안 들어오냐 신청한지2틅됫는데장난하나 제일 느리네
93,샤오미폰 쓰는데 며칠 전부터 샤오미 시스템 날씨 앱을 트로이목마로 인식해서 작동할 수가 없네요 신한은행 앱도 그랬었는데 이젠 잘 작동합니다 케이뱅크 앱도 개선해주시기 바랍니다
94,리뷰가 사라졌었네요  다시 그대로 작성합니다 네퍼 혜택이 끝나니 쓸 이유가 없고요 설상가상 어플 개편 때문에 불편해져서 더더욱 이점을 모르겠다고 여겼어요
95,계좌개설을 하라는 건지 말라는 건지 인증번호 6자리 입력하고 다음으로 넘어가는 게 죽었다 깨나도 안되는데 대체 계좌를 어떻게 개설하라는 건 질 몰겠네 계속 껐다 켰다 반복하니까 이제야 되네 참
96,로고 구관이 명관
97,최악 중 최악 알림 디자인 로고M 뭐지 도저히 적응이 안 된다 카카오뱅크으로 다시 돌아간다
98,인증번호 입력 후 다음이 안 눌림
99,그동안 잘 썼기에 감히 한마디 드리자면 지금 이렇게 고객들 불만이 쏟아져 나오는데도 똑같은 매크로 답변으로 양해만 구하고 있을 뿐 이미 개선한 것을 못 받아들이는 고객 탓이라는 모습은 인터넷전문은행은커녕 일반 사기업에서도 찾아보기 힘든 관료제의 모습이네요 치킨 맛이 바뀌어서 별로라고 말해주는데 바뀐 맛에 적응 못하는 손님이 문제라는 건 참  105 토스 뱅크 출범하게 되면 저뿐만 아니라 대거 이탈할 텐데 2개 중 2위였던 자리 그 2위 자리마저 내주려는 관용의 큰 그림인가요 사실 이미 카카오뱅크의 서브 개념으로 쓰는 분들이 많을 텐데 수많은 투자금이 허공으로 사라지는 모습은 언제나 안타깝네요 가까운 미래에 로고MBA 케이스스터디에서 활용될 자료로도 좋겠네요 IPO 하시려면 토스 뱅크 나오기 전에 하시던가 이래저래 안타깝네요
100,외국인도 사용할 수 있도록 해주세요
101,하여 왜 점점 퇴보하는지 촌스럽고 메일 앱이랑 혼동되면서도 회사 슬로건을 로고로 만들어버린 기행도 그냥 그러려니 하고 넘어갈려 해도 정말 보통은 회사 로고인 로고K를 강조하고 슬로건을 케이뱅크 자리에 넣죠;;; 로고M만 보고 누가 회사 슬로건을 알아요 슬로건을 강조하고 싶은 건 알겠는데 1도 강조 안돼요 고객들 반응을 보세여 귀 닫고 문 닫고 매크로성 답만 남기지 말고 임원들이나 개발자 마케팅 담당자들은 좀 반성 들 즘 하세요 그리고 예전엔 로그인 화면에서 바로 지문인 식장 바로 떠서 편했는데 이제는 지문인식하려면 버튼 한 번 더 눌러야 하게 번거롭게 만들었네요 다시 원래대로 될 돌려주세요 비밀번호 로그인으로 할지 지문으로 바로 로그인할지는 고객이 선택할 수 있게 해주시고요 가뜩이나 웹 기반이라 카카오뱅크보다 느려터젔는데 이런 거라도 편하게 해줘야죠 이럴 때마다 몇 년을 썼지만 진짜 이제라도 카카오뱅크으로 갈아탈까 연타 옵니다 앱이라도 좀 세련되고 편의성 있게라도 해주시면 안되는 건가요
102,계좌개설 위해 주소 입력하고 골라서 눌렀는데 없는 주소라면서 안됩니다 조치하세요 차암동 효성 검색 시 차암동 효성 해링턴 550 주소 나오는데 위와 같이 안됩니다
103,케이뱅크인데 웬 로고M이냐 한참 찾았네
104,로고M이 뭡니까; 헷갈리게 참 퇴보하는 방법도 가지가지네요 색상도 최악에 가깝고 요즘 아이콘 느낌이 절대 아닙니다 복구시켜 주시길 간곡히 부탁드립니다
105,한두 명만 지메일이랑 헷갈리는 게 아닌데 변경을 고려해봐야 하지 않나요 구글에 지메일 아이콘을 바꿔달라고 할까요
106,디자인 너무 메일 앱 같아요
107,로고 디자인이 트렌드에 역행하네 전 것이 훨씬 시인성 좋은데요 흰 배경에 빨간 로고K 만큼 시인성 좋은 게 없었는데 브랜드 아이덴티티가 다 무너진 거 같아요 앞으로 어떻게 할지 기대되는군요 핸드폰으로 이용할 때의 전 로고는 확 눈에 띄고 좋았는데 지금은 어두운 배경이라 묻혀요 본인들 어플 서랍 모아 둔 곳에서 얼마나 빨리 찾을 수 있을까요
108,이번에 가입하려는데요 인증번호가 오는데 10분이 넘게 걸리네요
109, 자꾸 메일 온 줄 알아요 
110,아니 어플이 왜 계속 재설치를 해도 인증번호 입력 후 다음으로 클릭이 안되는 겁니까
111,잘 쓰고 있었는데 웬 로고M 지메일이랑 헷갈려요 돌려놔주세요;;
112,굿
113,좋다 그러나 느리다 카카오뱅크보다 느리다 로고는 바뀐 게 불만 있으신 분들 있는 거 같은데 욕먹을 수준은 아닌데;; 안타깝네요
114,셔
115,굿
116,좋았네
117,회원가입조차 안되네요
118,로고 좋다잖아요 읍읍
119,누가 로고를 만들고 그걸 승인한 머리는 장식으로 있나 봄
120,신분증 인식을 왜 저렇게 안 대는지 개선 좀 하세요 불편합니다 30분째 인식 안 대서 있는데 제가 잘못된 건지 어플이 잘못인지는 모르겠으나 이건 너무하네요
121,왜 바탕화면에서 로딩이 안 되나요 빠른 복구 좀 요
122,업비트 때문에 쓰는데 인터넷 속도 느리면 아예 접속 안되고 부실한 어플입니다
123,스팸인 줄 착각해서 지우고 다시 다운로드하는 번거로움
124,CI 아이콘 바뀐 거 너무 별로 고 불편 구글 G로고MAIL 온 줄 알았네요 갑자기 바뀌어서 앱 찾느라 애먹었습니다 감사합니다
125,앱 로그인 창에 아이디 입력란에 특수 기호 입력이 안됨 그리고 가입 시 사업자 번호 없이 만들었었는데 찾을라니까 사업자 비번 필수인 거 같은데 없으면 영영 못 찾는 건가요
126,아니 잘 쓰던 앱이 너무 느려요 이거 개선 안 하나요 접속할 때마다 몇 분째 기다리는 거 같은데
127,고객확인 제도 확인하람서 인증 계속 요구 지문인증해도 계속 같은 문구에 인증하라고;;; 다음으로 안 넘어감
128,회원가입을 하려고 해도 인증번호를 입력하고 확인 버튼을 누르면 멈추네요
129,Good 너무 편리하고 유용합니다
130,어렵다 뭔 말인지 열리지도 않네
131,케이뱅크 설치 중 바이오정보가 휴대폰에 등록되지 않았다는데 어떻게 해결하나요 Be901 더 진행할 수 없어요
132,군대 갔다 오고 공동 인증서 좀 발급하려 했더니 처음 신분증 찍고 영상통화다 끝나고 나서 다음 단계 넘어가지지도 않고 이후에는 아예 영상통화 연결돼도 핀번호 입력창 마자 꺼지고 케이뱅크 자체가 꺼져버리네요 이러면 발급을 어떻게 하나요 상담원 안내받고 어플 캐시 삭제하고 폰까지 껐다 켰는데 이건 제 폰 문제인가요 어플 문제인가요 그냥 공동 인증서 발급만 5번째 시도하다가 지쳤습니다
133,이 어플 홈 화면이나 메뉴 목록에 바로 가기 추가는 안되는 건가요
134,회원가입하는데 인증번호 받고 다음 버튼이 안 눌려서 인증번호만 열일곱 번 받았는데 개화 나네 진짜
135,해외에서 구매한 폰에서는 계좌 개설이 되지 않아 문제가 있습니다 개선 부탁드립니다
136,케이뱅크인데 뭔 로고M이냐 아이디어 낸 사람 누구임
137,케이뱅크인데 왜 로고는 로고M m뱅크세요 로고Ma로고Ke 로고Money가 은행 이름이세요 슬로건을 로고로 박는 회사는 첨보네요 아니 G메일하고 다르게 만들던가 똑같아서 헷갈리잖아요
138,역대 최악의 로고
139,안 주민등록증 찍는데 왜 자꾸 실패 뜬 개화 딱지나 네
140,케이뱅크 케이뱅크는 금리는 낮게 대출을 아주 많이 대출할 수 있어서 자주 이용하고 있습니다
141,로고 바뀐 거 최악 모로 가도 중간만 가면 평타는 칠 텐데 누가 밀어붙였는지 모르겠지만 리뷰를 써야겠다 싶을 정도로 안 좋게 바뀌었네요 케이뱅크에 로고M은 어디에도 연관성이 없고 사용자들이 케이뱅크 하면 로고K를 우선적으로 떠올리지 누가 로고M을 떠올릴까요 앱 삭제할 뻔했다는 걸 겨우 놔뒀으니 할 말 다 했죠
142,급하게 돈 보내야 하는데 어플이 열리질 않네
143,무엇을 위한 앱인지 알 수 없습니다 앱에 철학이 없네요 매번 리뉴얼만 하고
144,계좌개설이 안돼요 ;;;;;
145,케이뱅크가 메이크 머니 추구로 엠뱅크로 어플 디자인 변경되어 알림도 엠으로 떠서 엠뱅크같아요
146,자기들 맘대로 네 현대카드 뱅크냐
147,대포 방지 룰에 걸려서 30일간 계좌개설 못하게 됐네요 매우 불편
148,아니 업데이트하고 나서 왜 이렇게 잘 안 켜져요 진짜 성질 나 죽겠네 예전에는 안 그랬는데 업뎃이후로맨말이래요 급해 죽게 눈데 짜증 날 정도네
149,잘 사용하고 있습니다 근데 요번 업데이트로 인해 안 좋은 점 1 로고M이라는 로고가 지메일과 겹치네요 알림이 오면 지메일과 헷갈려요 2 바이오 인증으로 설정해도 접속 시 매번 지문 버튼을 눌러줘야 한다는 점 이전 버전은 한번 설정하면 접속 시 지문인증이 떴는데 3 앱 디자인 촌스러워짐
150,고지서 청구서를 다 전자로 받는데 종이 서류 찍어서 본인 인증하라고요  일본 그룹인가 팩스 고집하는 애덜하고 똑같아 보임
151,꼰대 노인이 이렇게 만들라고 했다면서요 아네 수고하세요
152,케이뱅크 체크카드 못생김 
153,본인들의 새로운 도약을 위해서 새 정체성을 나타내는 새로운 로고를 만드는 것은 좋습니다 하지만 어플을 사용하는 실제 이용자들의 편의성을 제일 먼저 고려를 해야 하는 것은 아닌지 의문이 듭니다 많은 사용자들이 불편을 나타내며 어플을 찾지 못하겠다는 피드백이 많은 상황 속에서 계속 똑같은 답변만을 주시는 게 조금 안타까워 보이네요 케이뱅크를 잘 사용하고 있던 한 사용자의 의견이었습니다
154,캔이 뱅크 어플 삭제한 줄 알았네요 어플 이미지로 보통 기억을 할 텐데 엠케이 뱅크로 이름을 변경하실 계획인지 이미지 변경을 기획하신 분은 다시 한번 생각해보시는 게 어떠신가요
155,잘 쓰고 있고 업데이트 안 하고 있어요 실력이 없으면 나대질 말던가 케이뱅크인데 메이크 머니든 뭐든 이니셜 엠이 웬 말이죠 메이크 머니 뱅크로 이름 바꿀 거도 아니면서
156,바뀐 로고 보고 여기도 윗대가리들이 답 없는 곳이구나 느낌
157,케이뱅크인데 어플 알람이 로고K가 아니라 로고M으로 와서 메일 온 거로 착각했어요;; 다시 로고K로 돌아가면 안 되나요
158,케이뱅크 로고K가 아니라 로고M이라니요 메이크 머니 솔직히 와닿지도 않고 케이뱅크 인지도도 낮은데 마케팅 슬로건으로 아이콘 만드는 생각은 누가 했는지
159,좋아요
160,멀쩡한 앱 로고K 빼고 로고M 넣고 색 우중충하게 바꾸고 이거 주도한  자르세요
161,1백만 원 이상 이체가 안되는데 어떻게 하나요
162,비밀번호 4자리 입력하라는데 계속 틀리게 나오네요 다른 거 한 적이 없는데 이유가 무엇인가요
163,대출도 편리하고 이체 수수료도 없고 최고입니다
164,기기변경 먼저 기기에서 앱 삭제하니 잘 됨
165,바이오 인증 다시 등록하니까 바로 지문인식 뜨네요 감사합니다
166,앱 편리하고 좋습니다 근데 업데이트 후 바뀐 로고 정말 구립니다 저게 케이뱅크랑 무슨 상관이 있나요 이전 로고는 아 케이뱅크구나 할 수 있었는데 바뀐 로고는 아직도 헷갈리고 볼 때마다 이상합니다 시인성 슬로건 소비자 입장에서 그걸 모르겠고 불편하고 구린데 사 측에서 도대체 무슨 생각인지 이 디자인 통과시킨 사람도 진짜 생각이 없는 것 같아요 유튜브에서 은행 로고 만드는데 임원들이 틀에 박힌 생각으로 아이디어를 제한하고 어차피 자기들 맘에만 들게 바꾸려고 하는 영상을 봤는데 딱 그게 생각납니다 이전이 훨씬 납니다
167,고객확인 제도하라고 계좌 막아놓고 전화를 20번 했는데도 통화 중이라 하네요 거지같이 연결 안 되고 전화 말곤 아무것도 없는 빌어먹을 은행
168,온라인뱅킹 중 최고
169,은행 사용하는 데는 만족합니다 다만 저도 CI에 대해 얘기하자면 별점 빵점이고요 어플 볼 때마다 지하철 생각납니다 로고Ma로고Ke 로고Money의 로고M이라 케이뱅크의 로고K 가 더 직관적이고 좋았는데요 색상도 별로예요
170,케이뱅크 로고K에서 아무런 연관 없는 로고M이라니 자꾸 G로고Mail 같아서 헷갈림 아무리 시간이 지나도 적응 안 될 거 같고 혜택이 좀 더 낮아지면 다른 은행을 메인으로 바꿀 예정 몇 번을 생각해도 왜 로고M 인지 이럴 거면 A X Y Z로 해도 되겠구먼 기존 유저한테 설문을 하고 바꾸던가 참 답답 대한민국에서 로고K 만큼 강조되는 알파벳이 어딨다고
171,로고 바뀌고 재인증 하는데 기존 고객 맞지요 기기 인증 후 신분 중 촬영에서 다운되는데 재차 설치해도 똑같네요 이체해야 되는데 환장하겠네
172,공인인증서로 타인 명의 핸드폰 본인인증되는 기능이 된다고 하면서 왜 만들려면 외국인은 개설이 불가하다고 하나요 내국인인데 외국인이라고 해버리면 공인인증서 기능을 뭐 하러 만들어 논 건지 이해가 되지 않네요 이런 거 제발 좀 개선 부탁합니다
173,기존 로그인 시 지문인증으로 바로 앱을 열었는데 지금은 로그인 방식을 일일이 선택해줘야 하네요 바로 지문인식으로 앱을 실행시킬 순 없나요
174,리뷰 댓글 ai가 다는 거임 똑같은 말만 하고 리뷰에 안 맞는 답글도 있고 지금 업데이트만 10분째라 리뷰 읽어봤더니 심각하네
175,케이뱅크 로고가 로고M이다 무슨 일인지 색상도 브랜드 색과 하나도 안 맞음
176,앱이 깔리지 않는데 왜 그러죠
177,지금 사용해야는데 계속 권한 설정이 뜨네요 이미 설정 다 되어있어요
178,인증이 안돼요
179,업데이트 후에 어플 실행이 안되네요 먹통 돼버림ᆢ와 나ᆢ ᆢ 어쩌죠
180,디자인 바뀐 거 최악이네요 알림 뜰 때마다 케이뱅크가 아니라 구글 메일 알림 온 줄 알았어요 아마 디자이너도 진짜 싫어했을 듯합니다 윗분들이 우리는 은행이니까 머니 관련으로 바꿔봐라라고 해서 울면서 했을 듯 디자인 쪽 일하는 누구나 심지어 공부 중인 학생들에게 물어봐도 최악의 디자인이라는 말이 나올 것 같습니다
181,업데이트 후 너무 느려요 왜 이러죠
182,편함
183,갑자기 앱 실행하면 해킹 위험 어플이 깔려있다고 오류코드 9004 뜨면서 접속을 못하고 있습니다 어찌해야 하나요
184,왜 어플 아이콘을 로고M으로 바꿨는지 이해가 안감 너네 케이뱅크잖아요 가뜩이나 KB증권도 로고M이라 헷갈린데 더 헷갈려짐
